track_id,item_id
000xQL6tZNLJzIrtIgxqSl,0
003eoIwxETJujVWmNFMoZy,1
003vvx7Niy0yvhvHt4a68B,2
00B7TZ0Xawar6NZ00JFomN,3
00Blm7zeNqgYLPtW6zg8cj,4
00ETaeHUQ6lops3oWU1Wrt,5
00ZKeP47bZtswtANkvxz2j,6
00gpGR84M27moP7AFuqHIx,7
00imgaPlYRrMGn9o83hfmk,8
00ko9WaS4jOX1kEk3gvHjf,9
00lNx0OcTJrS3MKHcB80HY,10
00syWkRGIVQvYsg2OwfBUw,11
017PF4Q3l4DBUiWoXk4OWT,12
01DOm09B2AbiTARAbXVI6g,13
01K4zKU104LyJ8gMb7227B,14
01Qb6dN5suQNu87VJ1mIpf,15
01TnVDiet1DFTsyWKUKovl,16
01dmH2IPkrLNWIMPNXlreE,17
01qFKNWq73UfEslI0GvumE,18
01uk7IzZyFNfQTDBXxx6NB,19
01vv2AjxgP4uUyb8waYO5Y,20
01z2fBGB8Hl3Jd3zXe4IXR,21
021lWIHJrURZrmvYQ1xcM8,22
0247StOpd3AkeBQzANX4Zf,23
02FaKXXL7KUtRc7K0k54tL,24
02LZ1fGJE8fB56yTlCVMEV,25
02MWAaffLxlfxAUY7c5dvx,26
02RCbjb9czvQKNGBmEmWob,27
02VBYrHfVwfEWXk5DXyf0T,28
02WacdrRpm4zlP8H7X6bnQ,29
02itaCXOdC54J0ISjqqFAp,30
02kDW379Yfd5PzW5A6vuGt,31
02wk5BttM0QL38ERjLPQJB,32
0314PeD1sQNonfVWix3B2K,33
03B2SfXuvDh1m9F4tqrX07,34
03NqHNdG3Ur6kciQWK6e8V,35
03T4ttRCiLXST6MZjeMwmR,36
03eJ2DclFWXYU8GWgANdmZ,37
03fs6oV5JAlbytRYf3371S,38
03hqMhmCZiNKMSPmVabPLP,39
03iCbZaM4OkRR4We6wIzvx,40
03mMSLEJCPoGJwQhHpN5y0,41
03rwnftfgpYVO6QDWOZcG6,42
03wOsqNRdFZAgwo708sjw2,43
03x2rVJRFUrvwlfxoHd9Mo,44
042Sl6Mn83JHyLEqdK7uI0,45
042x9bsUBWW2fJgJ6fUh61,46
044qU7kwVZaDwzWnRsmVVL,47
045ZeOHPIzhxxsm8bq5kyE,48
04CqLjewJiSAqM210vZAmT,49
04CyMEHliadfQWMUJb1w99,50
04DwTuZ2VBdJCCC5TROn7L,51
04MLEeAMuV9IlHEsD8vF6A,52
04S1pkp1VaIqjg8zZqknR5,53
04WxWo7XeVyx22xEsrWRUb,54
04ZTP5KsCypmtCmQg5tH9R,55
04ndZkbKGthTgYSv3xS7en,56
04sN26COy28wTXYj3dMoiZ,57
053zWWZDziDJd3U94x8RuP,58
059bcIhyc2SBwm6sw2AZzd,59
05CwHjIk71RXVU40boRMnR,60
05GsNucq8Bngd9fnd4fRa0,61
05KOgYg8PGeJyyWBPi5ja8,62
05WVKTdZhlIMX4qqMLuo0f,63
05X6aMCQR09E6smUmw9qms,64
05Z7jet4VDNVgNQWcYHnrk,65
05ZXXyeZFhZtA6DAP3Aw7x,66
05aZ9sAU1YXndHv0FMi9iW,67
05bfbizlM5AX6Mf1RRyMho,68
05bnEv2dpFzmGVLGdjD9UP,69
05mAIVLkIWc2d1UBYZBCp8,70
05mDaV9Vb3wrzjF6OPZnhq,71
05rJdH2MRLJ3sQoEUO78qs,72
05t7JMip6JrLuSrMV5yYjX,73
05zd5Nv0e02ZqrlC8A2cwx,74
06FCvd7rrRcF3DdvWH5Isp,75
06Gyf2pFDVmN5K8XAawG96,76
